Content,Tweet,text,compound,polarity
string,"['paling', 'kampanye', 'milu']",paling kampanye milu,3,positive
meta titlerue,"['halal', 'dukung', 'jelang', 'milu', 'butuh']",halal dukung jelang milu butuh,2,positive
ah palingan juga kampanye pemilu kak,"['sistem', 'milu', 'milu']",sistem milu milu,-4,negative
aman orba hal seperti ini dulu dihalalkan dan dapat dukungan palagi menjelang pemilu sangat dibutuhkan,"['meja', 'milu', '2019', 'curang', 'rival', 'berani', '2', 'kotak', 'milu', 'strategi', 'curangnyadi', 'bukti', 'dgn', 'gabung', 'dn', 'sekongkol', 'masyarakat', 'madani', 'sdh', 'cardas']",meja milu 2019 curang rival berani 2 kotak milu strategi curangnyadi bukti dgn gabung dn sekongkol masyarakat madani sdh cardas,-24,negative
u yg tanya padahal sistem datang dari mana ada lgsung tanpa pemilu a dijawab tanpa pemilu bisa,"['aja', 'bom', 'langgar']",aja bom langgar,1,positive
ebrak meja adeeehhh emilu  yg dicurangi rivalnya kok berani gebrak kotak emilu ya ternyata strategi curangnyadi buktikan dgn bergabung dn bersekongkol asyarakat adani sdh ardas ya,"['kasihan', 'hati', 'daftarin', 'milu', 'biar', 'hati', 'dapet', 'kursi', 'kursi', 'anggota', 'dewan', 'cuaakk']",kasihan hati daftarin milu biar hati dapet kursi kursi anggota dewan cuaakk,-5,negative
on ntpemilu aja belom mau pelanggaran di mana tolol,"['calon', 'presiden', 'partai', 'nasdem', 'anies', 'baswedan', 'tentu', '5', 'kriteria', 'cawapres', 'damping', 'milu', '2024', 'itstimerestorasiindonesia', 'nasdemno', '5', 'aniespresidenku']",calon presiden partai nasdem anies baswedan tentu 5 kriteria cawapres damping milu 2024 itstimerestorasiindonesia nasdemno 5 aniespresidenku,1,positive
asihan ya hatinya daftarin pemilu biar hatinya dapet kursi kursi anggota dewan cuaakk,"['laku', 'konsolidasi', 'gerindra', 'kota', 'depok', 'menang', 'prabowo', 'subianto', 'milu', '2024', 'wartakota', 'prabowountukindonesia', 'bangkitbersama', 'setyoko', '2024']",laku konsolidasi gerindra kota depok menang prabowo subianto milu 2024 wartakota prabowountukindonesia bangkitbersama setyoko 2024,1,positive
osialisasikan tika enyelenggaraan emilu  dan  andatangani o,"['sosialisasi', 'etika', 'selenggara', 'milu', 'pwi', 'dkpp', 'tandatangani', 'mou']",sosialisasi etika selenggara milu pwi dkpp tandatangani mou,3,positive
ak harus pemilu kan,['milu'],milu,0,neutral
gk ada yg muak ihat   bahkan kami,"['milu', 'jalan', 'alus']",milu jalan alus,0,neutral
ersama ita kawal emilu,"['muak', 'ahy', 'bangga', 'ahy', 'msh', 'bilang', 'muda', 'pimpin', 'parpol', 'menang', 'milu', 'teruuss', 'loe', 'sbgi', 'amat']",muak ahy bangga ahy msh bilang muda pimpin parpol menang milu teruuss loe sbgi amat,-1,negative
lo udh merdeka artinya ada nation bernegara itu dimulai nation mblo bkn negara yg buat susah rakyat tp isi negara itu sendiri nah itu gunanya pemilu memilih isi tp gpp yuk makan sehat  sempurna jgn lupa minum susu bsk ke perpus cari apa itu negara bangsa dan demokrasi,"['jaga', 'situasi', 'kondusif', 'lancar', 'milu', '2024', 'damai', 'indah', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",jaga situasi kondusif lancar milu 2024 damai indah milu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,2,positive
iapa yg mjd dalang   th  unt jegal  di periode ke ernyata perolehan suara  lbh dari  di pemilu  gagal krg ditantang oalisi esar di ilpres  akanya jgn mentang bisa usung sendiri tanpa perlu koalisi eruslah berantem gar nies menang mudah,"['kawal', 'milu', '2024', 'milu', '2024sesuaitahapan', 'tolakpenundaanpemilu', 'antipolitikidentitas', 'tolakpolitikmasjid', 'milu', '2024', 'pilpres', '2024', 'capres', '2024', 'kpu', 'bawaslu', 'indonesiamaju']",kawal milu 2024 milu 2024sesuaitahapan tolakpenundaanpemilu antipolitikidentitas tolakpolitikmasjid milu 2024 pilpres 2024 capres 2024 kpu bawaslu indonesiamaju,-1,negative
